mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
261002520,261018880,DZI-100,DZI-10,2021-12-17T21:24:42.000Z,2021-12-17T21:25:19.000Z,2021-12-17T21:25:00.000Z,54.606773,14.363703,54.606602,14.36357,54.6066875,14.363636499999998,5.3,5.5,154.1,154.2,19.0,16.0,37,0.011260570278615547
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:57:13.000Z,2021-12-16T10:57:07.000Z,2021-12-16T10:57:10.000Z,55.573367,14.356073,55.573205,14.355905,55.573285999999996,14.355989000000001,1.1,1.2,136.7,297.9,12.0,8.0,6,0.011274988684336884
219028337,538005968,SVITZER EDDA,BALTIC SCORPION,2021-12-14T13:49:06.000Z,2021-12-14T13:49:37.000Z,2021-12-14T13:49:21.000Z,55.653615,12.986888,55.653788,12.987025,55.6537015,12.9869565,7.4,7.5,132.1,133.0,30.0,200.0,31,0.011376588294376622
219023182,219027087,CHARVIL,NYBOLIG,2021-12-13T14:17:26.000Z,2021-12-13T14:17:55.000Z,2021-12-13T14:17:40.000Z,55.055228,15.1508,55.055247,15.15047,55.055237500000004,15.150635000000001,2.3,2.6,232.3,308.4,7.0,7.0,29,0.011406009682649529
218809000,219028337,KARL ERIK,SVITZER EDDA,2021-12-17T14:40:15.000Z,2021-12-17T14:39:50.000Z,2021-12-17T14:40:02.000Z,55.626,12.981862,55.625827,12.981722,55.625913499999996,12.981791999999999,4.3,4.5,143.4,141.9,123.0,30.0,25,0.011419818107285935
231848000,257206000,SVITZER GEO,GERDA,2021-12-03T06:04:52.000Z,2021-12-03T06:04:11.000Z,2021-12-03T06:04:31.000Z,55.636048,12.968913,55.635885,12.96873,55.6359665,12.9688215,12.5,7.9,150.1,140.2,32.0,82.0,41,0.0115862040012281
265695200,265703830,RESCUE PANTAMERA,BALTIC EXPLORER,2021-12-16T07:40:13.000Z,2021-12-16T07:39:28.000Z,2021-12-16T07:39:50.000Z,55.573808,14.35742,55.573957,14.357197,55.573882499999996,14.357308499999998,1.2,3.0,116.1,117.3,8.0,12.0,45,0.011718665040528516
265514800,265518160,PILOT 114 SE,PILOT 738 SE,2021-12-12T09:53:37.000Z,2021-12-12T09:53:59.000Z,2021-12-12T09:53:48.000Z,55.37244,13.144297,55.372247,13.144227,55.3723435,13.144262000000001,1.0,1.2,297.6,62.3,14.0,17.0,22,0.01183135318113169
230053260,265512660,SOUND NEPTUNUS,SOUND CASTOR,2021-12-17T10:09:32.000Z,2021-12-17T10:09:31.000Z,2021-12-17T10:09:31.000Z,55.769057,14.472665,55.769233,14.472833,55.769144999999995,14.472749,6.2,6.2,196.8,197.1,26.0,17.0,1,0.011994148841607037
220476000,565835000,FRIGGA,PROMETHEUS LEADER,2021-12-28T15:19:49.000Z,2021-12-28T15:20:08.000Z,2021-12-28T15:19:58.000Z,55.635592,12.968493,55.635692,12.968185,55.635642000000004,12.968339,5.9,5.9,143.8,142.8,34.0,190.0,19,0.012041730479338923
218809000,219028337,KARL ERIK,SVITZER EDDA,2021-12-17T14:40:15.000Z,2021-12-17T14:39:50.000Z,2021-12-17T14:40:02.000Z,55.626,12.981862,55.62581,12.981745,55.625905,12.9818035,4.3,4.5,143.4,141.9,123.0,30.0,25,0.012077477278203618
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:58:03.000Z,2021-12-16T10:58:07.000Z,2021-12-16T10:58:05.000Z,55.573505,14.35607,55.573457,14.355723,55.573481,14.3558965,1.2,1.0,342.2,6.0,12.0,8.0,4,0.012125949855036214
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:54:14.000Z,2021-12-13T17:54:19.000Z,2021-12-13T17:54:16.000Z,55.61541,12.994142,55.615333,12.9938,55.615371499999995,12.993971,2.2,1.1,191.2,77.4,4.0,8.0,5,0.012483972494635242
111219512,265388000,"",KBV 302,2021-12-13T07:20:16.000Z,2021-12-13T07:19:33.000Z,2021-12-13T07:19:54.000Z,55.24083,14.227293,55.240927,14.22697,55.2408785,14.227131499999999,1.1,1.2,340.3,348.4,20.0,22.0,43,0.012496591555952648
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T11:15:32.000Z,2021-12-16T11:15:19.000Z,2021-12-16T11:15:25.000Z,55.5738,14.3563,55.573828,14.356665,55.573814,14.356482499999998,2.5,2.9,125.5,16.4,12.0,8.0,13,0.012502921148374408
265675230,266334000,KBV 314,KBV 034,2021-12-16T07:28:55.000Z,2021-12-16T07:29:44.000Z,2021-12-16T07:29:19.000Z,55.574067,14.367668,55.574198,14.36738,55.574132500000005,14.367524,1.1,1.0,293.3,293.0,26.0,49.0,49,0.012546965915638716
231848000,538005968,SVITZER GEO,BALTIC SCORPION,2021-12-14T13:49:50.000Z,2021-12-14T13:49:37.000Z,2021-12-14T13:49:43.000Z,55.653905,12.986708,55.653788,12.987025,55.6538465,12.9868665,7.5,7.5,130.9,133.0,32.0,200.0,13,0.012831791068223986
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T09:18:13.000Z,2021-12-16T09:18:58.000Z,2021-12-16T09:18:35.000Z,55.575387,14.354168,55.575588,14.354023,55.5754875,14.3540955,1.0,1.0,57.7,34.1,12.0,8.0,45,0.013033110659436357
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:57:13.000Z,2021-12-16T10:58:07.000Z,2021-12-16T10:57:40.000Z,55.573367,14.356073,55.573457,14.355723,55.573412,14.355898,1.1,1.0,136.7,6.0,12.0,8.0,54,0.013051517879236415
219028337,265413000,SVITZER EDDA,SCA OSTRAND,2021-12-05T02:56:58.000Z,2021-12-05T02:56:34.000Z,2021-12-05T02:56:46.000Z,55.636682,12.969332,55.636488,12.969157,55.636585,12.969244499999999,6.5,6.6,145.6,146.4,30.0,170.0,24,0.013070754073782137
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-04T14:41:11.000Z,2021-12-04T14:42:07.000Z,2021-12-04T14:41:39.000Z,55.329878,15.05319,55.330012,15.052888,55.329945,15.053039,1.0,1.1,115.2,63.7,17.0,,56,0.013081203964714988
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-10T09:23:23.000Z,2021-12-10T09:22:57.000Z,2021-12-10T09:23:10.000Z,55.295677,15.281582,55.295813,15.281278,55.295745,15.28143,2.0,2.6,101.6,111.8,17.0,,26,0.013216066831825642
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-10T09:23:23.000Z,2021-12-10T09:22:57.000Z,2021-12-10T09:23:10.000Z,55.295677,15.281582,55.295813,15.281278,55.295745,15.28143,2.0,2.6,101.6,111.8,17.0,,26,0.013216066831825642
265011730,265714460,RESCUE 15-04 TBN,RESCUE FAMOUS,2021-12-02T09:47:10.000Z,2021-12-02T09:47:52.000Z,2021-12-02T09:47:31.000Z,55.410625,12.933727,55.410683,12.93335,55.410654,12.933538500000001,1.1,1.3,66.7,254.7,15.0,8.0,42,0.013313326999171593
376128000,941004968,FFS ATLAS,FFS TOW-B2     12.0V,2021-12-23T17:40:31.000Z,2021-12-23T17:40:32.000Z,2021-12-23T17:40:31.000Z,55.23134,14.141658,55.231243,14.141302,55.2312915,14.14148,5.0,1.9,279.0,287.6,30.0,,1,0.01350894691779472
376128000,941004968,FFS ATLAS,FFS TOW-B2     11.9V,2021-12-23T17:40:31.000Z,2021-12-23T17:40:32.000Z,2021-12-23T17:40:31.000Z,55.23134,14.141658,55.231243,14.141302,55.2312915,14.14148,5.0,1.9,279.0,287.6,30.0,,1,0.01350894691779472
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:54:14.000Z,2021-12-13T17:54:16.000Z,2021-12-13T17:54:15.000Z,55.61541,12.994142,55.615333,12.993767,55.615371499999995,12.993954500000001,2.2,1.0,191.2,44.1,4.0,8.0,2,0.013529715438874199
219028337,563255000,SVITZER EDDA,VIKING AMBER,2021-12-05T07:38:16.000Z,2021-12-05T07:38:44.000Z,2021-12-05T07:38:30.000Z,55.636092,12.968602,55.635868,12.968647,55.63598,12.9686245,5.8,5.7,137.9,140.1,30.0,167.0,28,0.013535251974114548
265675230,266334000,KBV 314,KBV 034,2021-12-16T07:27:21.000Z,2021-12-16T07:26:34.000Z,2021-12-16T07:26:57.000Z,55.573958,14.368118,55.573895,14.368505,55.5739265,14.3683115,1.0,1.0,319.3,306.7,26.0,49.0,47,0.013669853394120406
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:57:13.000Z,2021-12-16T10:56:28.000Z,2021-12-16T10:56:50.000Z,55.573367,14.356073,55.573142,14.356135,55.5732545,14.356104,1.1,1.4,136.7,285.6,12.0,8.0,45,0.013672048863076046
265523410,265768850,RESCUE GAD RAUSING,RESCUE SPARB. SKANE,2021-12-13T07:01:28.000Z,2021-12-13T07:01:17.000Z,2021-12-13T07:01:22.000Z,55.243133,14.233212,55.243232,14.232848,55.2431825,14.23303,1.0,1.2,2.7,135.7,20.0,8.0,11,0.013804505693459576
245039000,371255000,"",SEA ENTERPRISE,2021-12-10T11:57:40.000Z,2021-12-10T11:58:13.000Z,2021-12-10T11:57:56.000Z,54.695983,13.156378,54.695967,13.156775,54.695975000000004,13.1565765,7.3,7.2,265.9,265.5,,28.0,33,0.013808673135127033
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T08:48:32.000Z,2021-12-16T08:48:39.000Z,2021-12-16T08:48:35.000Z,55.575298,14.353973,55.575473,14.3537,55.575385499999996,14.3538365,1.2,1.3,6.0,173.1,12.0,8.0,7,0.014009331843652268
261018330,261018880,KOL-144,DZI-10,2021-12-17T15:47:06.000Z,2021-12-17T15:48:05.000Z,2021-12-17T15:47:35.000Z,54.99676,14.119778,54.996668,14.120152,54.996714,14.119965,4.6,4.0,97.9,136.0,12.0,16.0,59,0.014015215013106189
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-04T19:31:52.000Z,2021-12-04T19:32:10.000Z,2021-12-04T19:32:01.000Z,55.064797,15.136118,55.064597,15.1359,55.064696999999995,15.136009,1.0,1.0,353.1,333.3,17.0,,18,0.014155359798248144
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T07:40:33.000Z,2021-12-16T07:40:13.000Z,2021-12-16T07:40:23.000Z,55.574027,14.357257,55.573808,14.35742,55.5739175,14.357338500000001,1.0,1.2,235.8,116.1,12.0,8.0,20,0.014265489236700409
218809000,219028337,KARL ERIK,SVITZER EDDA,2021-12-17T14:44:04.000Z,2021-12-17T14:43:21.000Z,2021-12-17T14:43:42.000Z,55.623792,12.98876,55.623742,12.988345,55.623767,12.9885525,4.1,4.2,99.4,101.9,123.0,30.0,43,0.014385362201355858
219026443,249997000,DANPILOT PAPA,KYRAKATINGO,2021-12-18T17:22:34.000Z,2021-12-18T17:22:33.000Z,2021-12-18T17:22:33.000Z,55.306118,14.862363,55.306342,14.862205,55.30623,14.862283999999999,11.1,9.4,220.9,218.1,15.0,250.0,1,0.014492500169505314
